,REGION,N_ALL,N_EARLY,N_OUT,N_INVALID,BABURIN,GRUDININ,ZHIRINOVSKY,PUTIN,SOBCHAK,SURAYKIN,TITOV,YAVLINSKY,N_VOTED,TURNOUT
53,Магаданская область,102626,2417,3018,1108,417,10364,6185,53341,1007,408,458,491,73800,0.7191160134858613
54,Московская область,5829578,0,166982,48150,26448,476897,203869,2758911,78893,24523,36133,49664,3707532,0.6359863441230222
55,Мурманская область,599851,1096,9670,4915,2827,35240,31434,303796,8931,2578,3426,4660,398049,0.6635797889809303
56,Нижегородская область,2618865,403,132168,15107,12037,183465,111744,1334417,27728,12320,14053,16107,1728008,0.6598308809350616
57,Новгородская область,502905,0,21925,3448,2345,36661,22000,209286,5303,2420,2456,4143,288184,0.5730386454698203
58,Новосибирская область,2159912,0,64418,16625,8473,213707,85790,926858,21067,8005,9080,14654,1304738,0.6040699806288404
59,Омская область,1535403,0,51132,12487,10496,189303,57901,624934,14282,5653,5832,7592,928745,0.6048867951931838
60,Оренбургская область,1518357,381,68462,10938,6137,155156,67777,731838,11539,7846,6003,5748,1003460,0.6608854175928323
61,Орловская область,631300,0,55088,4670,3210,55482,27617,349743,5777,3187,3187,2698,455636,0.7217424362426739
62,Пензенская область,1061806,0,104043,6740,4616,78135,43823,625928,9048,5614,4037,4697,783041,0.7374614571776765
63,Псковская область,527477,0,45141,3165,2952,39407,23688,258584,5794,2782,2656,5533,344636,0.653366876660025
64,Ростовская область,3210796,0,159301,18200,11741,236287,106905,1641189,23036,14121,13046,13761,2079778,0.6477452943133105
65,Рязанская область,922884,0,64715,5756,4094,76023,37091,458882,7777,3731,3654,4068,601155,0.6513873899645026
66,Самарская область,2436024,0,107663,21460,10805,189314,98007,1234759,32392,11543,12324,17892,1629771,0.6690291228657845
67,Саратовская область,1896735,0,112030,10736,7436,148585,66254,987373,15067,8326,7485,9268,1261212,0.6649384336768184
68,Сахалинская область,374297,3359,10059,3942,1586,41201,20075,153289,3874,1496,1654,1938,229139,0.6121849761018656
69,Свердловская область,3345221,3210,79001,27282,15154,241365,141683,1555532,44258,13317,19428,27144,2085667,0.6234765954177617
70,Смоленская область,773021,0,35880,5399,3894,62351,36894,347859,6724,3519,3304,3426,473596,0.6126560597965643
71,Тамбовская область,840040,0,72585,5652,3137,55183,31418,494966,5311,3593,2521,3210,605183,0.7204216465882577
72,Тверская область,1070221,0,48898,6027,4718,77050,43421,459198,10144,4902,4846,5635,616279,0.5758427464981531
73,Томская область,778244,2003,20226,5307,2976,70163,31466,328296,10091,2757,3986,5886,461270,0.5927061435745088
74,Тульская область,1194044,0,89645,8333,5692,77552,48748,648117,11689,5379,5331,7537,819815,0.6865869264449216
75,Тюменская область,1068796,2951,33204,7152,4543,69294,64367,672385,11723,4249,4577,4808,843552,0.7892544508025854
76,Ульяновская область,1000022,0,52700,7023,3972,94809,40028,477654,7146,4752,4197,3567,643360,0.6433458463913794
77,Челябинская область,2632596,0,106530,27234,13468,227134,121670,1275822,31326,13243,16181,21573,1748424,0.6641444414562659
78,Ярославская область,1026447,0,51432,6636,5329,85256,49621,472666,15607,4377,6710,11738,658208,0.6412488905905517
79,город Москва,7543682,0,172779,66234,43298,563429,211890,3199214,184144,32639,70301,142998,4521355,0.5993565211258906
80,город Санкт-Петербург,3632398,1795,70251,28951,20450,209112,94569,1735236,100059,15295,36254,73532,2320134,0.6387334207319793
81,город Севастополь,339010,633,7674,2040,576,8698,6988,218303,3083,569,896,903,242176,0.714362408188549
82,Еврейская автономная область,128844,106,4123,1331,501,14066,7387,52374,771,404,407,369,77627,0.6024882804011052
83,Ненецкий автономный округ,39470,6116,579,267,185,3397,2482,17863,448,135,172,158,25109,0.6361540410438308
84,Ханты-Мансийский автономный округ - Югра,1130343,26633,15804,10824,3916,94785,53569,600404,10884,4095,4363,5060,788075,0.6971998764976649
85,Чукотский автономный округ,33541,2531,874,293,115,1616,2018,22709,358,142,180,160,27598,0.8228138695924391
86,Ямало-Ненецкий автономный округ,370823,41135,4008,2616,1052,19488,19409,291409,2394,1794,1154,1367,340791,0.9190125747324195
