,Unnamed: 0,Unnamed: 0.1,REGION,N_ALL,N_GIVEN,N_EARLY,N_IN,N_OUT,N_LEFT,N_PORTABLE,N_STATIC,N_INVALID,N_VALID,N_LOST,N_UNUSED,BABURIN,GRUDININ,ZHIRINOVSKY,PUTIN,SOBCHAK,SURAYKIN,TITOV,YAVLINSKY,N_VOTED,TURNOUT
35,35,35,Астраханская область,736206,700193,432,417312,27074,255375,27487,417239,4340,440386,0,0,2185,64047,19339,342195,5060,2823,2233,2504,444818,0.6042031713949628
36,36,36,Белгородская область,1218896,1162467,0,806610,86165,269692,86165,806269,8749,883685,0,0,5218,93102,49685,711392,8474,6534,4835,4445,892775,0.7324455901077697
37,37,37,Брянская область,978509,950080,0,692036,87912,170132,87903,691575,7177,772301,0,0,4472,68375,43940,636087,7463,4265,4175,3524,779948,0.797078003370434
38,38,38,Владимирская область,1141236,1066871,0,678717,63247,324907,63241,678160,9351,732050,0,0,5440,93649,58822,546042,10777,5075,6098,6147,741964,0.6501407246178704
39,39,39,Волгоградская область,1761088,1768147,0,1062296,137672,568170,137609,1061051,10850,1187810,11,2,8040,140708,69909,929541,14403,8116,6851,10242,1199968,0.6813787840244213
40,40,40,Вологодская область,947066,899455,0,572115,54878,272462,54851,571512,6090,620273,0,0,5184,75644,54556,453576,13365,4567,5333,8048,626993,0.662037281456625
41,41,41,Воронежская область,1870895,1795296,0,1059782,148156,587358,148109,1059561,9435,1198235,0,0,7830,136435,64905,952642,13024,8561,7277,7561,1207938,0.6456471367981634
42,42,42,Ивановская область,809832,686042,0,429677,44507,211858,44504,429535,4663,469376,0,0,4286,70211,37408,338335,7772,3526,3696,4142,474184,0.5855337897242885
43,43,43,Иркутская область,1877547,1763939,178,995467,50075,718218,50251,995267,11545,1033973,1,0,5480,166540,67373,763810,12646,5240,5339,7545,1045720,0.5569607578398836
44,44,44,Калининградская область,796445,733323,0,472062,23183,238064,23183,471622,5618,489187,15,1,3384,50522,29651,377725,12591,3286,4744,7284,495245,0.621819460226381
45,45,45,Калужская область,797897,762558,0,500980,42918,218656,42908,500732,6425,537215,6,2,4197,59802,37905,414027,8070,3943,4200,5071,543898,0.6816644253581603
46,46,46,Кемеровская область,2005066,1945218,591,1535544,132628,276445,133177,1532543,10657,1655063,10,0,7972,101153,83777,1422919,14002,7556,7213,10471,1668763,0.8322733516003962
47,47,47,Кировская область,1055239,1005278,96,601182,60583,343417,60679,601078,7455,654302,0,0,5157,90650,63771,465948,11034,5655,5784,6303,661861,0.6272143087963958
48,48,48,Костромская область,532700,481521,0,299105,23308,159108,23307,298970,3048,319229,0,0,2665,52135,29834,221449,4852,2309,2879,3106,322413,0.6052431011826545
49,49,49,Курганская область,704338,687678,0,400315,34521,252842,34517,400269,3873,430913,0,0,2682,59425,38002,318703,4590,3020,2178,2313,434836,0.6173683657562137
50,50,50,Курская область,923309,827179,0,526134,69220,231825,69213,526060,5207,590066,0,0,3421,56948,33326,482257,5631,3316,2640,2527,595354,0.6448047186803118
51,51,51,Ленинградская область,1331507,1233933,55,826203,64370,343305,64423,825903,10539,879787,0,0,6136,78545,48465,703423,18715,5655,8129,10719,890628,0.6688872082535052
